                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4536,                 4.1909,                  2.187,                0.00675,                0.32955,                0.00765,                0.00342,                  1.745,                  3.813,                 1.7962,                      0,                      0,                      0
                      1,                 2.4118,                    3.9,                 2.0364,                0.00792,                  0.375,                0.01123,                0.00417,                 1.7757,                 3.6827,                 1.7984,              1.601e-05,              1.601e-05,              1.601e-05
                      2,                 2.4435,                 3.9919,                 2.1246,                0.01894,                0.15909,                0.01434,                0.00554,                 1.7267,                 3.4924,                 1.7577,             3.0699e-05,             3.0699e-05,             3.0699e-05
                      3,                 2.4148,                 3.4727,                 1.9881,                0.02026,                0.18182,                0.03116,                0.01308,                 1.5901,                 3.2028,                 1.6621,             4.4069e-05,             4.4069e-05,             4.4069e-05
                      4,                 2.1204,                 3.1348,                 1.7774,                0.05282,                0.15909,                 0.0416,                 0.0204,                 1.5147,                 2.9001,                 1.5959,             5.6118e-05,             5.6118e-05,             5.6118e-05
                      5,                 2.1203,                 3.2116,                 1.9033,                0.12237,                0.19897,                0.09408,                0.05135,                 1.4118,                 2.7454,                 1.5361,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      6,                 1.8259,                 2.4533,                 1.6884,                0.19954,                0.29545,                0.19248,                0.10612,                 1.3635,                 2.6927,                 1.5113,             7.6255e-05,             7.6255e-05,             7.6255e-05
                      7,                 1.7706,                 2.4237,                 1.6133,                0.21705,                0.29545,                0.26406,                0.15937,                 1.3034,                    2.7,                 1.4579,             8.4344e-05,             8.4344e-05,             8.4344e-05
                      8,                 1.7984,                   2.13,                 1.6161,                0.28208,                0.44318,                0.32841,                0.19335,                 1.2665,                 2.7494,                  1.433,             9.1112e-05,             9.1112e-05,             9.1112e-05
                      9,                 1.7141,                 2.2423,                 1.5872,                0.40857,                0.20323,                 0.3348,                0.21009,                 1.2155,                 2.5906,                 1.3846,             9.6559e-05,             9.6559e-05,             9.6559e-05
                     10,                 1.5782,                 2.1027,                 1.5466,                 0.2274,                0.51136,                0.37857,                0.22136,                 1.2361,                 2.3022,                  1.383,             0.00010069,             0.00010069,             0.00010069
                     11,                 1.4927,                 1.8696,                 1.5075,                0.26469,                0.46591,                0.36345,                0.20625,                 1.2462,                 2.1446,                 1.3742,             0.00010349,             0.00010349,             0.00010349
                     12,                 1.3878,                 1.8108,                 1.3745,                0.49672,                0.43289,                0.38321,                0.20877,                 1.2411,                 2.0702,                 1.3451,             0.00010498,             0.00010498,             0.00010498
                     13,                 1.4939,                 1.9137,                 1.4482,                0.44219,                0.43764,                0.37812,                0.20942,                 1.2674,                 1.9358,                 1.3345,             0.00010515,             0.00010515,             0.00010515
                     14,                 1.4263,                   1.71,                 1.4045,                0.76087,                 0.3212,                0.46556,                 0.2298,                 1.3086,                 1.8163,                 1.3581,             0.00010399,             0.00010399,             0.00010399
                     15,                 1.3175,                 1.7564,                 1.3728,                0.68404,                0.35227,                0.46988,                 0.2415,                 1.3443,                 1.7412,                 1.3652,             0.00010152,             0.00010152,             0.00010152
                     16,                 1.2228,                 1.6041,                 1.2635,                0.73883,                0.32955,                0.47801,                0.24761,                  1.394,                 1.7023,                 1.4218,             9.7726e-05,             9.7726e-05,             9.7726e-05
                     17,                 1.2199,                 1.5152,                 1.2862,                0.73883,                0.32955,                0.47801,                0.24761,                  1.394,                 1.7023,                 1.4218,             9.2612e-05,             9.2612e-05,             9.2612e-05
                     18,                 1.1937,                  1.514,                 1.2805,                0.56416,                 0.4359,                0.50297,                0.23928,                 1.4464,                 1.6388,                 1.4633,             8.6177e-05,             8.6177e-05,             8.6177e-05
                     19,                 1.2493,                 1.4799,                  1.282,                0.56416,                 0.4359,                0.50297,                0.23928,                 1.4464,                 1.6388,                 1.4633,             7.8422e-05,             7.8422e-05,             7.8422e-05
                     20,                 1.1522,                 1.5062,                 1.2427,                0.59666,                0.44318,                0.53779,                0.28095,                 1.4564,                 1.6115,                 1.4789,             6.9347e-05,             6.9347e-05,             6.9347e-05
                     21,                 1.1947,                 1.4356,                 1.2547,                0.59666,                0.44318,                0.53779,                0.28095,                 1.4564,                 1.6115,                 1.4789,             5.8952e-05,             5.8952e-05,             5.8952e-05
                     22,                 1.1194,                 1.3104,                 1.2747,                0.51447,                0.65278,                0.60253,                0.28146,                 1.4791,                 1.5493,                 1.4962,             4.7236e-05,             4.7236e-05,             4.7236e-05
                     23,                   1.24,                  1.342,                 1.2145,                0.51447,                0.65278,                0.60253,                0.28146,                 1.4791,                 1.5493,                 1.4962,               3.42e-05,               3.42e-05,               3.42e-05
                     24,                 1.2091,                 1.4223,                  1.332,                0.52591,                0.67759,                0.62908,                0.28341,                 1.4644,                 1.5364,                 1.4882,             1.9844e-05,             1.9844e-05,             1.9844e-05
